ppm,intensity
14.91979335794826,4863.5
14.919479735490592,5846.5
14.919166113032924,6874.75
14.918852490575256,6333.5
14.918538868117588,5990.0
14.91822524565992,5509.25
14.917911623202253,4310.75
14.917598000744585,4251.25
14.917284378286917,4558.25
14.916970755829249,4837.5
14.916657133371581,5617.75
14.916343510913913,5933.5
14.916029888456244,4896.0
14.915716265998576,4800.75
14.915402643540908,5275.75
14.91508902108324,5006.75
14.914775398625572,4386.5
14.914461776167904,3782.0
14.914148153710236,3532.75
14.913834531252569,3915.25
14.9135209087949,3900.0
14.913207286337233,3791.75
14.912893663879565,3180.75
14.912580041421897,2725.75
14.91226641896423,3298.0
14.911952796506561,5116.0
14.911639174048894,5708.0
14.911325551591226,4660.75
14.911011929133558,4667.25
14.91069830667589,5505.5
14.910384684218222,4898.0
14.910071061760554,3330.0
14.909757439302886,2798.5
14.909443816845219,2758.5
14.90913019438755,3813.75
14.908816571929883,5332.75
14.908502949472215,6576.0
14.908189327014547,6380.0
14.90787570455688,4969.5
14.907562082099211,5384.75
14.907248459641544,6666.0
14.906934837183874,6744.25
14.906621214726206,6761.25
14.906307592268538,6778.25
14.90599396981087,5540.5
14.905680347353202,4474.5
14.905366724895535,4365.25
14.905053102437867,3860.5
14.904739479980199,3592.25
14.904425857522531,4127.0
14.904112235064863,4712.0
14.903798612607195,4108.75
14.903484990149527,3934.75
14.90317136769186,4041.75
14.902857745234192,4262.25
14.902544122776524,3735.0
14.902230500318856,4147.75
14.901916877861188,4786.75
14.90160325540352,4316.0
14.901289632945852,4049.75
14.900976010488185,4009.25
14.900662388030517,4380.75
14.900348765572849,3921.75
14.900035143115181,3550.5
14.899721520657513,3505.75
14.899407898199845,2998.5
14.899094275742177,3051.0
14.89878065328451,3997.5
14.898467030826842,4407.75
14.898153408369174,4700.75
14.897839785911504,4793.25
14.897526163453836,4366.75
14.897212540996168,4048.25
14.8968989185385,4381.25
14.896585296080833,5025.25
14.896271673623165,5382.5
14.895958051165497,6171.75
14.89564442870783,5175.75
14.895330806250161,4067.25
14.895017183792493,4197.5
14.894703561334826,4220.5
14.894389938877158,4418.0
14.89407631641949,5187.5
14.893762693961822,4758.0
14.893449071504154,4113.5
14.893135449046486,4073.5
14.892821826588818,4879.0
14.89250820413115,4778.5
14.892194581673483,3190.5
14.891880959215815,3683.0
14.891567336758147,4975.5
14.891253714300479,4657.75
14.890940091842811,3591.0
14.890626469385143,4430.5
14.890312846927475,5662.5
14.889999224469808,6441.25
14.88968560201214,7342.75
14.889371979554472,8369.75
14.889058357096804,8224.75
14.888744734639134,8061.25
14.888431112181467,7890.25
14.888117489723799,7770.75
14.88780386726613,7881.75
14.887490244808463,8068.75
14.887176622350795,7212.0
14.886862999893127,6459.0
14.88654937743546,5974.25
14.886235754977792,5686.25
14.885922132520124,5553.25
14.885608510062456,5499.75
14.885294887604788,5123.5
14.88498126514712,4579.75
14.884667642689452,4145.5
14.884354020231784,4536.25
14.884040397774116,4444.25
14.883726775316449,5357.5
14.88341315285878,5732.5
14.883099530401113,5453.5
14.882785907943445,5034.75
14.882472285485777,4721.75
14.88215866302811,3524.25
14.881845040570441,3278.75
14.881531418112774,4175.25
14.881217795655106,3649.0
14.880904173197438,3726.0
14.88059055073977,4499.0
14.880276928282102,4313.5
14.879963305824432,4362.5
14.879649683366765,4816.75
14.879336060909097,5472.25
14.879022438451429,4848.0
14.878708815993761,4996.25
14.878395193536093,6219.5
14.878081571078425,5994.75
14.877767948620757,5249.75
14.87745432616309,4593.0
14.877140703705422,4012.25
14.876827081247754,3432.5
14.876513458790086,3958.0
14.876199836332418,4290.75
14.87588621387475,3809.75
14.875572591417082,3687.25
14.875258968959415,3870.5
14.874945346501747,4533.75
14.874631724044079,5144.5
14.874318101586411,4995.75
14.874004479128743,4092.75
14.873690856671075,3089.75
14.873377234213407,2046.0
14.87306361175574,2552.0
14.872749989298072,3573.75
14.872436366840404,5095.25
14.872122744382736,6531.5
14.871809121925068,6688.5
14.8714954994674,6100.75
14.871181877009732,4545.5
14.870868254552065,3624.5
14.870554632094395,3556.5
14.870241009636727,4077.75
14.86992738717906,4417.0
14.869613764721391,5768.25
14.869300142263723,7248.75
14.868986519806056,7619.0
14.868672897348388,6929.0
14.86835927489072,5888.25
14.868045652433052,4774.5
14.867732029975384,3645.25
14.867418407517716,4160.0
14.867104785060048,4354.5
14.86679116260238,3248.75
14.866477540144713,3117.75
14.866163917687045,3480.0
14.865850295229377,3971.75
14.865536672771709,4461.25
14.865223050314041,4210.25
14.864909427856373,4233.75
14.864595805398706,4080.25
14.864282182941038,3852.25
14.86396856048337,3475.0
14.863654938025702,2506.0
14.863341315568034,2397.75
14.863027693110366,2670.75
14.862714070652698,3231.75
14.86240044819503,4264.0
14.86208682573736,5788.0
14.861773203279693,6473.5
14.861459580822025,5937.5
14.861145958364357,3994.25
14.86083233590669,2909.75
14.860518713449022,2147.5
14.860205090991354,3059.0
14.859891468533686,4862.75
14.859577846076018,5513.0
14.85926422361835,4630.0
14.858950601160682,4183.0
14.858636978703014,4642.25
14.858323356245347,5036.25
14.858009733787679,5644.75
14.85769611133001,6049.25
14.857382488872343,6219.5
14.857068866414675,5843.75
14.856755243957007,6100.75
14.85644162149934,5979.75
14.856127999041671,4960.5
14.855814376584004,4636.0
14.855500754126336,4840.0
14.855187131668668,4074.75
14.854873509211,3463.0
14.854559886753332,4804.25
14.854246264295664,4975.75
14.853932641837996,3667.75
14.853619019380329,3861.25
14.85330539692266,5048.25
14.852991774464993,6152.5
14.852678152007323,6207.75
14.852364529549655,5085.0
14.852050907091987,3123.75
14.85173728463432,1362.75
14.851423662176652,1204.0
14.851110039718984,1753.75
14.850796417261316,2559.25
14.850482794803648,2920.5
14.85016917234598,3748.75
14.849855549888312,3880.5
14.849541927430645,3785.75
14.849228304972977,3988.5
14.848914682515309,4409.5
14.848601060057641,4986.0
14.848287437599973,4845.0
14.847973815142305,5055.0
14.847660192684637,5984.0
14.84734657022697,6074.75
14.847032947769302,6144.5
14.846719325311634,6044.0
14.846405702853966,6016.25
14.846092080396298,6172.0
14.84577845793863,6631.25
14.845464835480962,6814.25
14.845151213023295,6302.25
14.844837590565627,5411.25
14.844523968107959,4354.75
14.844210345650291,3200.0
14.843896723192621,2520.5
14.843583100734953,1873.25
14.843269478277286,1579.75
14.842955855819618,1414.75
14.84264223336195,1694.75
14.842328610904282,2764.0
14.842014988446614,2547.0
14.841701365988946,2855.25
14.841387743531278,2542.25
14.84107412107361,1774.5
14.840760498615943,2036.5
14.840446876158275,3383.25
14.840133253700607,4291.75
14.83981963124294,3719.25
14.839506008785271,3851.0
14.839192386327603,4342.5
14.838878763869936,4242.75
14.838565141412268,4605.75
14.8382515189546,4857.75
14.837937896496932,4749.25
14.837624274039264,4524.25
14.837310651581596,4317.5
14.836997029123928,4893.25
14.83668340666626,4611.5
14.836369784208593,4458.5
14.836056161750925,4192.75
14.835742539293257,5159.5
14.835428916835589,5643.5
14.835115294377921,5020.25
14.834801671920253,4396.5
14.834488049462584,4148.75
14.834174427004916,4878.25
14.833860804547248,5319.5
14.83354718208958,4963.0
14.833233559631912,4651.0
14.832919937174244,4811.5
14.832606314716577,4344.5
14.832292692258909,4110.0
14.83197906980124,4016.25
14.831665447343573,4277.75
14.831351824885905,4190.25
14.831038202428237,3676.0
14.83072457997057,2570.0
14.830410957512902,2224.75
14.830097335055234,3649.5
14.829783712597566,5497.75
14.829470090139898,7068.75
14.82915646768223,7612.75
14.828842845224562,7572.25
14.828529222766894,7309.25
14.828215600309226,6490.75
14.827901977851559,6219.75
14.82758835539389,6403.0
14.827274732936223,6344.5
14.826961110478555,6068.25
14.826647488020887,5249.5
14.82633386556322,4567.0
14.826020243105551,4312.25
14.825706620647882,4278.5
14.825392998190214,4292.5
14.825079375732546,4759.75
14.824765753274878,5096.0
14.82445213081721,5590.0
14.824138508359542,5713.0
14.823824885901875,5375.25
14.823511263444207,5378.75
14.823197640986539,4809.75
14.822884018528871,4334.5
14.822570396071203,3731.25
14.822256773613535,3110.25
14.821943151155867,3244.25
14.8216295286982,3105.5
14.821315906240532,2666.5
14.821002283782864,2365.0
14.820688661325196,3223.75
14.820375038867528,4658.75
14.82006141640986,6114.5
14.819747793952192,6634.5
14.819434171494525,4911.0
14.819120549036857,3977.5
14.818806926579189,5157.25
14.818493304121521,7032.5
14.818179681663853,8621.5
14.817866059206185,7981.0
14.817552436748517,8012.0
14.81723881429085,8211.75
14.816925191833182,7699.25
14.816611569375512,8154.75
14.816297946917844,8762.25
14.815984324460176,8540.25
14.815670702002508,6964.0
14.81535707954484,4941.0
14.815043457087173,4300.0
14.814729834629505,4852.5
14.814416212171837,6032.5
14.81410258971417,6271.25
14.813788967256501,4501.75
14.813475344798833,3806.0
14.813161722341166,4039.75
14.812848099883498,3643.75
14.81253447742583,3025.25
